Image,Gauge,Sensor 1,Sensor 2,Sensor 3
Images/IMG_8985.JPG,25.48,102,115,112
Images/IMG_8986.JPG,24.58,101,114,112
Images/IMG_8988.JPG,23.08,97.8,112,110
Images/IMG_8989.JPG,22.36,96.7,111,109
